{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	1	num_separator	0.5439910889											
12345	SNARC_only	DC	4	num_separator	0.4232809544											
12345	SNARC_only	DC	8	num_separator	0.5363848209											
12345	SNARC_only	DC	4	num_separator	0.5821378231											
12345	SNARC_only	DC	9	lctrl	0.5809259415											
12345	SNARC_only	DC	1	lctrl	0.8116230965											
12345	SNARC_only	DC	5	lctrl	0.5750448704											
12345	SNARC_only	DC	4	num_separator	0.8949151039											
12345	SNARC_only	DC	8	num_separator	0.4600360394											
12345	SNARC_only	DC	7	lctrl	0.5331988335											
12345	SNARC_only	DC	5	lctrl	0.4629180431											
12345	SNARC_only	DC	2	num_separator	0.6180438995											
12345	SNARC_only	DC	1	lctrl	0.5427908897											
12345	SNARC_only	DC	8	num_separator	1.4661941528											
12345	SNARC_only	DC	3	lctrl	3.2120378017											
12345	SNARC_only	DC	9	lctrl	0.6141030788											
12345	SNARC_only	DC	4	num_separator	0.5388491154											
12345	SNARC_only	DC	7	lctrl	0.5073421001											
12345	SNARC_only	DC	6	num_separator	0.6153700352											
12345	SNARC_only	DC	2	num_separator	0.5787689686											
12345	SNARC_only	DC	3	lctrl	1.0416100025											
12345	SNARC_only	DC	4	num_separator	0.7362780571											
12345	SNARC_only	DC	5	lctrl	0.6594421864											
12345	SNARC_only	DC	7	lctrl	0.7691829205											
12345	SNARC_only	DC	1	lctrl	0.7729439735											
12345	SNARC_only	DC	6	num_separator	0.776763916											
12345	SNARC_only	DC	6	num_separator	0.4981710911											
12345	SNARC_only	DC	3	lctrl	0.6567020416											
12345	SNARC_only	DC	5	lctrl	0.546061039											
12345	SNARC_only	DC	6	num_separator	0.6960141659											
12345	SNARC_only	DC	7	lctrl	1.2731440067											
12345	SNARC_only	DC	2	lctrl	0.6164021492											
12345	SNARC_only	DC	4	num_separator	0.425194025											
12345	SNARC_only	DC	1	lctrl	0.8088850975											
12345	SNARC_only	DC	1	lctrl	0.5066449642											
12345	SNARC_only	DC	8	num_separator	0.5759999752											
12345	SNARC_only	DC	8	num_separator	0.4201459885											
12345	SNARC_only	DC	3	lctrl	0.6175320148											
12345	SNARC_only	DC	6	num_separator	0.542301178											
