{'participant':	u'jonasn'		'response_buttons':	u'CD'		'range_in_instr':	True		'dateStr':	u'05_09_1331'		'autopilot':	False		'exp_id':	u'SNARC'}
jonasn	SNARC_only	DC	7	lctrl	0.4257352352											
jonasn	SNARC_only	DC	1	lctrl	0.383936882											
jonasn	SNARC_only	DC	4	num_separator	0.3505871296											
jonasn	SNARC_only	DC	3	lctrl	0.4297549725											
jonasn	SNARC_only	DC	5	num_separator	0.3880038261											
jonasn	SNARC_only	DC	5	lctrl	0.4589021206											
jonasn	SNARC_only	DC	3	lctrl	0.3819990158											
jonasn	SNARC_only	DC	5	lctrl	0.5418901443											
jonasn	SNARC_only	DC	7	lctrl	0.4597380161											
jonasn	SNARC_only	DC	9	lctrl	0.5329790115											
jonasn	SNARC_only	DC	3	lctrl	0.4625840187											
jonasn	SNARC_only	DC	4	num_separator	0.5400488377											
jonasn	SNARC_only	DC	6	num_separator	0.4698081017											
jonasn	SNARC_only	DC	2	num_separator	0.8063640594											
jonasn	SNARC_only	DC	1	lctrl	0.3881299496											
jonasn	SNARC_only	DC	9	num_separator	0.3431138992											
jonasn	SNARC_only	DC	7	lctrl	0.3837599754											
jonasn	SNARC_only	DC	5	lctrl	0.4663619995											
jonasn	SNARC_only	DC	3	lctrl	0.4280021191											
jonasn	SNARC_only	DC	6	num_separator	1.2368769646											
jonasn	SNARC_only	DC	4	num_separator	0.3834228516											
jonasn	SNARC_only	DC	1	lctrl	0.3500809669											
jonasn	SNARC_only	DC	6	num_separator	0.4294199944											
